Category,Name,Price (INR),Rating,Reviews (Nos),Bought Last Month,Offer,Original Price (INR)
Electronics & Gadgets,"iQOO Neo 10R 5G (Raging Blue, 12GB RAM, 256GB Storage) | Snapdragon 8s Gen 3 Processor | India's Slimmest 6400mAh Battery Smartphone | Segment's Most Stable 90FPS for 5 Hours","30,998",4.4 out of 5 stars,"3,068",400+ bought in past month,14% off,"30,998"
Electronics & Gadgets,"Lava Storm Lite 5G (Cosmic Titanium, 4+4*GB RAM, 128GB Storage) | India's First MTK Dimensity 6400 Processor | 50MP AI Camera | IP64 Rated | 120 Hz Display | 5000 mAh Battery | Supports All 5G Bands","8,999",4.0 out of 5 stars,336,500+ bought in past month,22% off,"8,999"
Electronics & Gadgets,"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","6,249",4.0 out of 5 stars,"6,540",5K+ bought in past month,38% off,"6,249"
Electronics & Gadgets,"Samsung Galaxy M35 5G (DayBreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+| Vapour Cooling Chamber| 6000mAh Battery| 120Hz Super AMOLED Display| AI| Without Charger","15,999",4.2 out of 5 stars,"13,840",2K+ bought in past month,38% off,"15,999"
Electronics & Gadgets,"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 128GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display","26,999",4.2 out of 5 stars,"2,457",1K+ bought in past month,37% off,"26,999"
Electronics & Gadgets,POCO M6 Plus 5G Misty Lavender 8GB RAM 128GB ROM,"10,299",3.9 out of 5 stars,979,5K+ bought in past month,43% off,"10,299"
Electronics & Gadgets,"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display","28,999",4.2 out of 5 stars,"2,457",1K+ bought in past month,37% off,"28,999"
Electronics & Gadgets,"Samsung Galaxy F05 (Twilight Blue, 64 GB) (4 GB RAM)","6,494",4.0 out of 5 stars,353,2K+ bought in past month,35% off,"6,494"
Electronics & Gadgets,POCO M6 Plus 5G Ice Silver 8GB RAM 128GB ROM,"10,299",3.9 out of 5 stars,979,1K+ bought in past month,29% off,"10,299"
Electronics & Gadgets,"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | 5500 mAh Battery, 80W SUPERVOOC and Reverse Charging | 50MP Camera with OIS | 120Hz AMOLED Display","16,998",4.2 out of 5 stars,"9,232",5K+ bought in past month,19% off,"16,998"
Electronics & Gadgets,"Lava O3 (Glossy Lavender, 4 GB RAM, 64 GB Storage) | Biggest 6.75"" HD+ Display | 13MP AI Dual Rear Camera | 5000 mAh Battery | Secure Face Unlock | Fingerprint Reader | Charger & Phone-Cover in Box","5,899",3.9 out of 5 stars,801,200+ bought in past month,18% off,"5,899"
Electronics & Gadgets,Redmi 15 5G Sandy Purple 8GB + 256GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17.53cm(6.9) Up to 144Hz | Snapdragon 6s Gen 3 | 18W Reverse Charging | 50MP AI Dual Camera,"16,999",N/A,N/A,N/A,15% off,"16,999"
Electronics & Gadgets,"Redmi 13 5G Prime Edition, Black Diamond, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","11,898",4.0 out of 5 stars,"1,824",5K+ bought in past month,41% off,"11,898"
Electronics & Gadgets,"POCO M7 5G, Satin Black (6GB, 128GB)","9,497",4.2 out of 5 stars,237,1K+ bought in past month,27% off,"9,497"
Electronics & Gadgets,"Samsung Galaxy A55 5G (Awesome Navy, 12GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display","31,999",4.2 out of 5 stars,"2,457",400+ bought in past month,35% off,"31,999"
Electronics & Gadgets,"Redmi 13 5G Prime Edition, Hawaiian Blue, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","11,898",4.0 out of 5 stars,"1,824",5K+ bought in past month,41% off,"11,898"
